nama_variabel,jenis_makanan,tahun,nama_wilayah,value
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Sukoharjo,0.105
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Wonogiri,0.047
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Karanganyar,0.083
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Sragen,0.078
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Grobogan,0.033
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Blora,0.023
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Rembang,0.034
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pati,0.100
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kudus,0.048
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Jepara,0.026
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Demak,0.046
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Semarang,0.067
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Temanggung,0.027
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kendal,0.074
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Batang,0.079
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pekalongan,0.162
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pemalang,0.204
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Tegal,0.200
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Brebes,0.288
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Magelang,0.209
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Surakarta,0.159
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Salatiga,0.103
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Semarang,0.098
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Pekalongan,0.238
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Tegal,0.327
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kulon Progo,0.074
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bantul,0.147
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Gunung Kidul,0.017
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Sleman,0.214
